,race,username,date,tweet,language,like_count,winner,clean_tweet
16,Bahrain_23,LandoNorris,2023-03-04 19:35:17+00:00,"Better day than I thought we were going to have tbh, so I’m happy with P11. Made the most of it, and we’re in a good position for the race https://t.co/ZwbaVEMtSN",en,23545,0,"Better day than I thought we were going to have tbh, so I’m happy with P11. Made the most of it, and we’re in a good position for the race"
17,Bahrain_23,OconEsteban,2023-03-05 10:26:50+00:00,"R A C E  D A Y !! 🇧🇭 

Where are you watching from? 🌎 
D'où regardez-vous ? 🌍",en,5334,0,R A C E D A Y !! 🇧🇭 Where are you watching from? globe_showing_Americas D'où regardez-vous ? globe_showing_Europe-Africa
18,Bahrain_23,OconEsteban,2023-03-04 19:08:43+00:00,So good to see all the fans again. 🙏🏼 Enjoy the race tomorrow! https://t.co/FWfi8znTf8,en,2287,0,So good to see all the fans again. folded_handsmedium-light_skin_tone Enjoy the race tomorrow!
19,Bahrain_23,OconEsteban,2023-03-04 17:46:02+00:00,P9 for the first race of the year 🔥 Car felt strong and team is focused. Let’s go get those points. @AlpineF1Team https://t.co/SagHF1fk6k,en,4407,0,P9 for the first race of the year fire Car felt strong and team is focused. Let’s go get those points.
20,Bahrain_23,KevinMagnussen,2023-03-05 19:39:17+00:00,"P13 in Bahrain. Challenging first race. But we learned a lot about the new car, and we have a long season ahead of us 👊@HaasF1Team #F1 #BahrainGP https://t.co/LvoY4p0vzv",en,1275,0,"P13 in Bahrain. Challenging first race. But we learned a lot about the new car, and we have a long season ahead of us oncoming_fist #F1 #BahrainGP"
21,Bahrain_23,KevinMagnussen,2023-03-04 19:23:54+00:00,"Starting from a P17 in Bahrain. Not what we wanted, but the race is tomorrow, and we'll push as always 🙌 @HaasF1Team #F1 #BahrainGP https://t.co/Fr3KUtgvTZ",en,1910,0,"Starting from a P17 in Bahrain. Not what we wanted, but the race is tomorrow, and we'll push as always raising_hands #F1 #BahrainGP"
22,Bahrain_23,alo_oficial,2023-03-06 10:56:06+00:00,"Hello 2023! We are @AstonMartinF1 💚. 

#NewEnergy #AstonMartin #f1 https://t.co/oQJGHGKfJp",en,37309,0,Hello 2023! We are green_heart. #NewEnergy #AstonMartin #f1
23,Bahrain_23,alo_oficial,2023-03-06 10:09:02+00:00,💚,art,63625,0,green_heart
24,Bahrain_23,alo_oficial,2023-03-06 10:07:50+00:00,#newEnergy Vamos!! @AstonMartinF1,es,17399,0,#newEnergy Vamos!!
25,Bahrain_23,alo_oficial,2023-03-04 17:24:51+00:00,"Wow….this car..😍.  3 weeks ago we presented the AMR23, and tomorrow we will start the first race of 2023 on the top5 😳. Thank you team ! Let’s go @astonmartinf1 💚!! More to come ! #astonmartin #f1 #bahrain https://t.co/1pIDCAmfRa",en,27148,0,"Wow….this car..smiling_face_with_heart-eyes. 3 weeks ago we presented the AMR23, and tomorrow we will start the first race of 2023 on the top5 flushed_face. Thank you team ! Let’s go green_heart!! More to come ! #astonmartin #f1 #bahrain"
26,Bahrain_23,PierreGASLY,2023-03-05 21:50:38+00:00,"First points. @alpinef1team 
Good recovery, 11 positions gained. We obviously want to fight for more, there is some potential in our package, time to work. https://t.co/1DEHpwJM0F",en,34420,0,"First points. Good recovery, 11 positions gained. We obviously want to fight for more, there is some potential in our package, time to work."
27,Bahrain_23,alex_albon,2023-03-06 18:12:34+00:00,"Super proud of this team! We’d thought we’d be waiting a while to score points this year after pre-season testing, so it’s amazing to get that P10 yesterday! Thank you @WilliamsRacing for the huge effort, let’s build on this now💪 https://t.co/eA21DmjWrI",en,7655,0,"Super proud of this team! We’d thought we’d be waiting a while to score points this year after pre-season testing, so it’s amazing to get that P10 yesterday! Thank you for the huge effort, let’s build on this nowflexed_biceps"
28,Bahrain_23,alex_albon,2023-03-05 20:55:33+00:00,P10!!!! Let's go!! Thank you @WilliamsRacing 👊👊 https://t.co/SbdVCtFkOY,en,17863,0,P10!!!! Let's go!! Thank you oncoming_fistoncoming_fist
29,Bahrain_23,alex_albon,2023-03-04 18:23:38+00:00,"Mixed feelings today! Super proud of everyone @WilliamsRacing , a lot of work &amp; some big improvements from last year. I think q3 was on the cards today but unfortunately we picked up some front wing damage, all to play for tomorrow 💪 #BahrainGP https://t.co/4X4vZxpCGx",en,4652,0,"Mixed feelings today! Super proud of everyone , a lot of work &amp; some big improvements from last year. I think q3 was on the cards today but unfortunately we picked up some front wing damage, all to play for tomorrow flexed_biceps #BahrainGP"
30,Bahrain_23,SchumacherMick,2023-03-05 13:10:51+00:00,Good that everyone got the ‚crossed arms‘ memo @MercedesAMGF1 https://t.co/McuArMtRc0,en,27919,0,Good that everyone got the ‚crossed arms‘ memo
31,Bahrain_23,Anto_Giovinazzi,2023-03-04 19:49:27+00:00,"#AG99🐝To Do List:
- Practice in Portimão ✅
- Sebring up next 🔜

#Ferrari499P https://t.co/M0p6Bd56uB",en,588,0,#AG99honeybeeTo Do List: - Practice in Portimão white_heavy_check_mark - Sebring up next SOON_arrow #Ferrari499P
32,Bahrain_22,Max33Verstappen,2022-03-20 19:44:22+00:00,"Tough day. Very disappointed with the final outcome 😔

Got some work on our hands from now on. We’ll get on top of it and keep pushing to bounce back stronger 👊 https://t.co/KsuxfZQNoD",en,60511,0,Tough day. Very disappointed with the final outcome pensive_face Got some work on our hands from now on. We’ll get on top of it and keep pushing to bounce back stronger oncoming_fist
33,Bahrain_22,Max33Verstappen,2022-03-20 11:31:33+00:00,ʀ ᴀ ᴄ ᴇ ᴅ ᴀ ʏ  🦁🔥 https://t.co/6EKVdsmhP2,und,31431,0,ʀ ᴀ ᴄ ᴇ ᴅ ᴀ ʏ lion_facefire
34,Bahrain_22,Max33Verstappen,2022-03-19 17:31:30+00:00,"All in all good day for us, P2 is a solid start. Excited to go racing tomorrow 😏 https://t.co/uJAQfY9g3S",en,41051,0,"All in all good day for us, P2 is a solid start. Excited to go racing tomorrow smirking_face"
35,Bahrain_22,Max33Verstappen,2022-03-19 11:14:57+00:00,"First Qualiday of 2022, let’s go 🚀 https://t.co/1OflSZyhZR",en,36328,0,"First Qualiday of 2022, let’s go rocket"
36,Bahrain_22,Charles_Leclerc,2022-03-20 20:13:17+00:00,"LET’S GOOOOO!!!! First win of the season ❤️ 
So incredibly proud of the whole team for the incredible work produced to get us back to this level. It is only the beginning, it’s now time to work harder than ever to stay there 👊 @ScuderiaFerrari https://t.co/OcXcoX54KN",en,167190,1,"LET’S GOOOOO!!!! First win of the season red_heart️ So incredibly proud of the whole team for the incredible work produced to get us back to this level. It is only the beginning, it’s now time to work harder than ever to stay there oncoming_fist"
37,Bahrain_22,Charles_Leclerc,2022-03-19 17:58:32+00:00,"Pole Position babyyyyyyyy ! 
Happy with this, but it is only qualifying, let’s finish the job tomorrow 💪 
And so happy to see that after all the hard work of the last two years, we are back in the fight. @scuderiaferrari ❤️ https://t.co/poKAxVE3tY",en,173536,1,"Pole Position babyyyyyyyy ! Happy with this, but it is only qualifying, let’s finish the job tomorrow flexed_biceps And so happy to see that after all the hard work of the last two years, we are back in the fight. red_heart️"
38,Bahrain_22,SChecoPerez,2022-03-21 15:36:07+00:00,"Me llena de alegría el corazón cada vez que regreso a casa, ❤️🏠espero verte pronto en el Gran Premio de México 2022. 
Aparta antes que nadie tu lugar en la #VentaAnticipada Banorte 
@Banorte_mx https://t.co/sI5a3idADX",es,4379,0,"Me llena de alegría el corazón cada vez que regreso a casa, red_heart️houseespero verte pronto en el Gran Premio de México 2022. Aparta antes que nadie tu lugar en la #VentaAnticipada Banorte"
39,Bahrain_22,SChecoPerez,2022-03-21 02:32:30+00:00,"#JaliscoEsMéxico porque cuando todos paran, en mi tierra aceleramos. https://t.co/MXAHR2ptYe",es,18682,0,"#JaliscoEsMéxico porque cuando todos paran, en mi tierra aceleramos."
40,Bahrain_22,SChecoPerez,2022-03-20 20:32:19+00:00,"We win and lose together!
Today we lost the podium due to an fuel system failure, but we will come back stronger! @redbullracing The positive thing is that we fought the whole weekend for the podium! 💪 #BahrainGP https://t.co/ghi64BHAiO",en,18623,0,"We win and lose together! Today we lost the podium due to an fuel system failure, but we will come back stronger! The positive thing is that we fought the whole weekend for the podium! flexed_biceps #BahrainGP"
41,Bahrain_22,SChecoPerez,2022-03-19 17:08:36+00:00,"Wasn’t the perfect lap, however is a good start as a team to be in the fight for the win tomorrow 💪

No fue la vuelta perfecta, pero es un buen inicio como equipo para mañana pelear por la victoria 💪#BahrainGP #RedBullRacing https://t.co/47EJRF47dB",en,20051,0,"Wasn’t the perfect lap, however is a good start as a team to be in the fight for the win tomorrow flexed_biceps No fue la vuelta perfecta, pero es un buen inicio como equipo para mañana pelear por la victoria flexed_biceps#BahrainGP #RedBullRacing"
42,Bahrain_22,GeorgeRussell63,2022-03-21 18:45:34+00:00,Back on track in four days. We like that. https://t.co/XEW6bbVcr1,en,51262,0,Back on track in four days. We like that.
43,Bahrain_22,GeorgeRussell63,2022-03-20 19:45:09+00:00,@ScuderiaFerrari @Charles_Leclerc @Carlossainz55 Congrats guys.,en,8490,0,Congrats guys.
44,Bahrain_22,GeorgeRussell63,2022-03-20 18:26:44+00:00,"Really strong team result today after a difficult week. We know we have work to do, but if we keep pushing this hard I know we'll get there. Congrats on the podium @LewisHamilton. 👊 https://t.co/Y6QW6nFeXp",en,80838,0,"Really strong team result today after a difficult week. We know we have work to do, but if we keep pushing this hard I know we'll get there. Congrats on the podium oncoming_fist"
45,Bahrain_22,GeorgeRussell63,2022-03-19 17:05:14+00:00,Rolled the dice to fight the guys up front but it didn’t work out in Q3. Tomorrow is what counts and we’re up for it! 👊 https://t.co/m6KbWoById,en,30146,0,Rolled the dice to fight the guys up front but it didn’t work out in Q3. Tomorrow is what counts and we’re up for it! oncoming_fist
46,Bahrain_22,Carlossainz55,2022-03-21 17:31:25+00:00,"Grazie team for an amazing job this weekend, specially yesterday with such good pit stops!! Now time to focus on this week’s race!! 💪🏼🔴

-
@ScuderiaFerrari 
#essereFerrari
#Carlossainz",en,2470,0,"Grazie team for an amazing job this weekend, specially yesterday with such good pit stops!! Now time to focus on this week’s race!! flexed_bicepsmedium-light_skin_tonered_circle - #essereFerrari #Carlossainz"
47,Bahrain_22,Carlossainz55,2022-03-21 17:31:25+00:00,"Grazie team per un lavoro incredibile questo weekend, sopratutto con i pit stop di ieri!! Adesso dobbiamo concentrarci sulla gara di questa settimana! 💪🏼🔴

-
@ScuderiaFerrari 
#essereFerrari
#Carlossainz https://t.co/8CZbS3D7TX",it,14766,0,"Grazie team per un lavoro incredibile questo weekend, sopratutto con i pit stop di ieri!! Adesso dobbiamo concentrarci sulla gara di questa settimana! flexed_bicepsmedium-light_skin_tonered_circle - #essereFerrari #Carlossainz"
48,Bahrain_22,Carlossainz55,2022-03-20 19:10:41+00:00,"We are back!! Forza Ferrari!🌶🇮🇹                
-
@ScuderiaFerrari 
#essereFerrari 
#Carlossainz https://t.co/vIydf5daLa",en,48565,0,We are back!! Forza Ferrari!hot_pepper🇮🇹 - #essereFerrari #Carlossainz
49,Bahrain_22,Carlossainz55,2022-03-20 18:50:43+00:00,"🇧🇭 Ferrari está de vuelta! Este doblete es recompensa a tantísimo trabajo y queremos compartir la alegría con todos los Tifosi. No me he sentido a gusto en el coche pero la semana que viene vamos a por ello. Felicidades a Charles. Forza Ferrari!

👉https://t.co/dsmUWzmJ9H https://t.co/Wly0waB9Kd",es,12715,0,🇧🇭 Ferrari está de vuelta! Este doblete es recompensa a tantísimo trabajo y queremos compartir la alegría con todos los Tifosi. No me he sentido a gusto en el coche pero la semana que viene vamos a por ello. Felicidades a Charles. Forza Ferrari! backhand_index_pointing_right
50,Bahrain_22,Carlossainz55,2022-03-20 18:50:35+00:00,"🇧🇭Ferrari is back! Congrats everyone! This 1-2 is the perfect reward for the endless job done to recover and we share our joy with every Tifosi. I didn’t feel at home in the car this weekend, but we go again next week. Congrats to Charles. Forza Ferrari!
👉https://t.co/5iKVrp224X https://t.co/hmI0a5z2ir",en,49232,0,"🇧🇭Ferrari is back! Congrats everyone! This 1-2 is the perfect reward for the endless job done to recover and we share our joy with every Tifosi. I didn’t feel at home in the car this weekend, but we go again next week. Congrats to Charles. Forza Ferrari! backhand_index_pointing_right"
51,Bahrain_22,Carlossainz55,2022-03-19 18:26:25+00:00,"🇧🇭P3, inicio prometedor. Después de alguna dificultad, hemos logrado un rendimiento muy alto en Quali y hemos peleado por la Pole hasta el final. Felicidades a Charles y a todo el equipo por darnos un coche competitivo. A por la carrera!

👉https://t.co/VrBsQJH1Za

-
#Carlossainz https://t.co/NZQDwFS31q",es,7328,0,"🇧🇭P3, inicio prometedor. Después de alguna dificultad, hemos logrado un rendimiento muy alto en Quali y hemos peleado por la Pole hasta el final. Felicidades a Charles y a todo el equipo por darnos un coche competitivo. A por la carrera! backhand_index_pointing_right - #Carlossainz"
52,Bahrain_22,Carlossainz55,2022-03-19 18:26:02+00:00,"🇧🇭P3 and promising start. After some struggles we put together a very strong performance in Quali and fought for pole until the very end. Congrats to Charles and to the entire team for giving us a competitive car. Lets race!

👉https://t.co/QdnkmkZpoN

-
#Carlossainz https://t.co/hqqzTemgCy",en,9391,0,🇧🇭P3 and promising start. After some struggles we put together a very strong performance in Quali and fought for pole until the very end. Congrats to Charles and to the entire team for giving us a competitive car. Lets race! backhand_index_pointing_right - #Carlossainz
53,Bahrain_22,Carlossainz55,2022-03-19 11:32:41+00:00,"Ready!! Vamos @ScuderiaFerrari!💪🏼🌶

-
#essereFerrari
#Carlossainz https://t.co/IvJQH7mtU1",es,5643,0,Ready!! Vamos
54,Bahrain_22,Carlossainz55,2022-03-19 09:52:19+00:00,"💪🏼 Feliz día del Padre al más grande @CSainz_oficial! 😉

-
#Carlossainz https://t.co/XmiAYljeJQ",es,7928,0,flexed_bicepsmedium-light_skin_tone Feliz día del Padre al más grande winking_face - #Carlossainz
55,Bahrain_22,LewisHamilton,2022-03-20 19:09:30+00:00,"Great start to the season. We gave it our all and ended up with the best result we could have. Well done to the Ferraris, great to see them share the podium. Big week of work ahead but I know we got this https://t.co/p3HXaIR1XF",en,125661,0,"Great start to the season. We gave it our all and ended up with the best result we could have. Well done to the Ferraris, great to see them share the podium. Big week of work ahead but I know we got this"
56,Bahrain_22,LewisHamilton,2022-03-19 18:27:26+00:00,Great effort @MercedesAMGF1 and @GeorgeRussell63. Heads down. We'll keep pushing.,en,87032,0,Great effort and Heads down. We'll keep pushing.
57,Bahrain_22,LandoNorris,2022-03-19 18:45:14+00:00,@Quadrant @Charles_Leclerc 👊,qme,2624,0,oncoming_fist
58,Bahrain_22,LandoNorris,2022-03-19 18:39:31+00:00,"Tough one today, but no surprises. We’ll go at it tomorrow. Congrats on pole @Charles_Leclerc https://t.co/SzHnRcNDwp",en,25832,0,"Tough one today, but no surprises. We’ll go at it tomorrow. Congrats on pole"
59,Bahrain_22,OconEsteban,2022-03-21 13:42:52+00:00,@Laurent_Rossi @alo_oficial @AlpineF1Team 💪,qme,102,0,flexed_biceps
60,Bahrain_22,OconEsteban,2022-03-20 19:07:12+00:00,"First race of ‘22 ✅

A solid race all around and double points for the team! Sorry to Mick for the first lap incident. 

Onwards and upwards 🔥🔥 https://t.co/fvtWZ5UjUR",en,2435,0,First race of ‘22 white_heavy_check_mark A solid race all around and double points for the team! Sorry to Mick for the first lap incident. Onwards and upwards firefire
61,Bahrain_22,OconEsteban,2022-03-20 11:19:46+00:00,It’s finally here… First race day of the year! 🔥🔥🔥 https://t.co/b9QsQTmPFo,en,5135,0,It’s finally here… First race day of the year! firefirefire
62,Bahrain_22,OconEsteban,2022-03-20 10:15:32+00:00,Yes! Allez les Bleus!! 🏆👏🇫🇷,fr,1772,0,Yes! Allez les Bleus!! trophyclapping_hands🇫🇷
63,Bahrain_22,OconEsteban,2022-03-20 09:36:22+00:00,@AurelieDonzelot Merci pour toutes ces années Aurélie 💙,fr,376,0,Merci pour toutes ces années Aurélie blue_heart
64,Bahrain_22,OconEsteban,2022-03-19 18:21:07+00:00,Good to be back in Quali mode. It was close out there with positives to take from today. Bring on race day. 😎 https://t.co/oVbNuM2h91,en,1716,0,Good to be back in Quali mode. It was close out there with positives to take from today. Bring on race day. smiling_face_with_sunglasses
65,Bahrain_22,KevinMagnussen,2022-03-21 15:08:19+00:00,Thanks to all of you in the @HaasF1Team 🙌,en,17388,0,Thanks to all of you in the raising_hands
66,Bahrain_22,KevinMagnussen,2022-03-20 20:08:07+00:00,"Feels so good to be back in this position! Great car, fantastic race. A massive well done to @HaasF1Team! #BahrainGP https://t.co/CMDQ3Iqs5h",en,72246,0,"Feels so good to be back in this position! Great car, fantastic race. A massive well done to #BahrainGP"
67,Bahrain_22,KevinMagnussen,2022-03-20 17:03:25+00:00,😅👊💥,art,85323,0,smiling_face_with_open_mouth_&_cold_sweatoncoming_fistcollision
68,Bahrain_22,KevinMagnussen,2022-03-19 19:22:04+00:00,Awesome day! Speechless. This is all we ever could've hoped for. Can't wait to get back om track tomorrow @HaasF1Team #BahrainGP https://t.co/oCFJEXgrVC,en,55529,0,Awesome day! Speechless. This is all we ever could've hoped for. Can't wait to get back om track tomorrow #BahrainGP
69,Bahrain_22,KevinMagnussen,2022-03-19 19:16:59+00:00,👊💥,art,54232,0,oncoming_fistcollision
70,Bahrain_22,alo_oficial,2022-03-20 18:56:38+00:00,Well executed race from everybody at @alpinef1team and we start the season in the points. More to come next weekend in Saudi ✊️👏🏻 . #alpine #f1 #bahrain https://t.co/s6hD8YK9l5,en,2838,0,Well executed race from everybody at and we start the season in the points. More to come next weekend in Saudi raised_fist️clapping_handslight_skin_tone . #alpine #f1 #bahrain
71,Bahrain_22,alo_oficial,2022-03-19 17:29:39+00:00,First qualy of the season and first real test for everybody. P8 and good feeling with the car. Now full focus for tomorrow ✊️✊️! @alpinef1team #f1 #alpine #bahrain https://t.co/VI7VqRKBUa,en,3828,0,First qualy of the season and first real test for everybody. P8 and good feeling with the car. Now full focus for tomorrow raised_fist️raised_fist️! #f1 #alpine #bahrain
72,Bahrain_22,PierreGASLY,2022-03-20 20:25:19+00:00,"Aaarghhhh.. don’t like this Sunday bbq!
Tough one today. A lot of positives from the race though - Let’s keep it up. Thanks for all the messages, I’m all good.🙏🏼 Congrats to Charlito for the W!! @Charles_Leclerc https://t.co/aKSQeRR6zf",en,57952,0,"Aaarghhhh.. don’t like this Sunday bbq! Tough one today. A lot of positives from the race though - Let’s keep it up. Thanks for all the messages, I’m all good.folded_handsmedium-light_skin_tone Congrats to Charlito for the W!!"
73,Bahrain_22,alex_albon,2022-03-19 18:52:04+00:00,Enjoyed that lap 😅 really happy and couldn’t have asked for a better way to start the weekend. Now onto tomorrow 👊 https://t.co/GzDswz1rJr,en,9017,0,Enjoyed that lap smiling_face_with_open_mouth_&_cold_sweat really happy and couldn’t have asked for a better way to start the weekend. Now onto tomorrow oncoming_fist
74,Bahrain_22,alex_albon,2022-03-19 11:56:27+00:00,"Welcome onboard @Fetch_ai! Thank you for your support, can’t wait to kickstart our partnership this weekend 😆✌️ https://t.co/tmmTohP7ZG",en,2650,0,"Welcome onboard Thank you for your support, can’t wait to kickstart our partnership this weekend smiling_face_with_open_mouth_&_closed_eyesvictory_hand️"
75,Bahrain_22,lance_stroll,2022-03-21 11:18:44+00:00,@AstonMartinF1 @HulkHulkenberg Good hustling out there 👊🏻 @HulkHulkenberg,en,736,0,Good hustling out there oncoming_fistlight_skin_tone
76,Bahrain_22,lance_stroll,2022-03-21 11:10:24+00:00,"Not the start to the season we were looking for.
We’ll be back to fight again this weekend 🇸🇦",en,3788,0,Not the start to the season we were looking for. We’ll be back to fight again this weekend 🇸🇦
77,Bahrain_22,SchumacherMick,2022-03-21 09:17:47+00:00,What a weekend for our team. Let’s gooooo! #MSC47 https://t.co/8md5H701YD,en,40014,0,What a weekend for our team. Let’s gooooo! #MSC47
78,Bahrain_22,SchumacherMick,2022-03-19 20:59:10+00:00,Proud of my team🌠 #MSC47 https://t.co/a5AisitCgY,en,34765,0,Proud of my teamshooting_star #MSC47
79,Bahrain_22,SchumacherMick,2022-03-19 08:40:34+00:00,Told y’all I had some more ideas💡 #MSC47 https://t.co/7Uu01iFnjo,en,6786,0,Told y’all I had some more ideaslight_bulb #MSC47
80,Bahrain_22,SchumacherMick,2022-03-19 08:39:26+00:00,"Happy about today, let’s see what tomorrow brings 🎆 #MSC47 https://t.co/0Bwyvc34Gc",en,8715,0,"Happy about today, let’s see what tomorrow brings fireworks #MSC47"
81,Bahrain_22,NicholasLatifi,2022-03-19 08:59:30+00:00,Quali under the lights tonight ✨🔜 #NL6 https://t.co/Go3zIuDRVU,en,1467,0,Quali under the lights tonight sparklesSOON_arrow #NL6
82,Bahrain_22,Anto_Giovinazzi,2022-03-20 20:21:30+00:00,"Nessuno meglio di chi ha fatto la storia poteva dare inizio a una nuova era. Orgoglioso di farne parte, continuamo a lavorare🔥
.
A new era has begun, under the sign of the Cavallino, being part of it will be exciting. 
Congrats to @Charles_Leclerc  and @Carlossainz55  💪 https://t.co/mBRFn29gEw",it,7930,0,"Nessuno meglio di chi ha fatto la storia poteva dare inizio a una nuova era. Orgoglioso di farne parte, continuamo a lavorarefire . A new era has begun, under the sign of the Cavallino, being part of it will be exciting. Congrats to and flexed_biceps"
83,Bahrain_21,Max33Verstappen,2021-03-28 18:33:00+00:00,"We had a strong race and there is more to come. 1 down, 22 to go. Bring it on 💪 #KeepPushing 🇧🇭 #BahrainGP https://t.co/wlKqfXfqjY",en,50156,0,"We had a strong race and there is more to come. 1 down, 22 to go. Bring it on flexed_biceps #KeepPushing 🇧🇭 #BahrainGP"
